goodsID,goodsName,shopName,shopID,sales,price,comments
536173335503,码头鲜生马来野生海捕石斑鱼黑虎斑500g一条装 龙虎斑 去腮去内脏,码头鲜生旗舰店,2938575849,56,89.00,49
541516970594,花斑鲽500g 海鲜水产花斑鲽鱼 新鲜冷冻花斑蝶鱼鲜活斑鱼,翼贝食品专营店,1909936037,2,19.00,6
19851555855,参情无限 印度洋东星斑鱼1000克鲜活海鲜水产新鲜冷冻石斑鱼包邮,参情无限旗舰店,1048126684,4,298.00,8
536838511664,码头鲜生马来野生海捕石斑鱼黑虎斑600g一条装 龙虎斑 去腮去内脏,码头鲜生旗舰店,2938575849,0,99.00,61
544056740523,【天猫超市】Joyfish清蒸阿拉斯加红石斑1条(400-500g),天猫超市生鲜店,1910146537,93,36.90,22
543511104652,刘清 海鲜深海野生红斑鱼4斤/2条冷冻水产新鲜海鱼原料进口喜庆鱼,刘清海娟专卖店,2265757510,0,359.00,0
544083281065,【天猫超市】Joyfish清蒸阿拉斯加红石斑1条(400-500g) 海鲜水产,天猫超市华北生鲜,2243902285,73,36.90,24
521472501436,【调顺渔家】石斑鱼 新鲜 湛江特产天然深海鱼海鲜水产大礼包3斤,调顺渔家旗舰店,2540163570,20,158.00,80
42645699265,刘清 冰岛海鲜野生海参斑鱼3.5斤/条冷冻水产新鲜深海鱼原料进口,刘清海娟专卖店,2265757510,2,105.00,15
41743482369,【海大厨】冰岛海参斑600g 野生深海鱼新鲜冷冻海鲜鱼进口原材,海大厨旗舰店,1650200138,5,55.00,90
42687169292,刘清 冰岛北极海鲜海参斑鱼3.5斤/条 冷冻水产Lumpus海鱼原料进口,刘清旗舰店,1863387728,0,103.00,15
543127993250,【佳美洋】青岛新鲜石斑鱼 龙趸鱼新鲜野生海鱼 2-3斤 包邮,佳美洋旗舰店,2778469588,0,138.00,1
543540446578,刘清 海鲜深海红斑鱼4斤/2条 冷冻水产 印尼新鲜野生海鱼 喜庆鱼,刘清旗舰店,1863387728,0,359.00,1
535384001285,欧帆 越南冰鲜青石斑鱼600g 石斑鱼 深海鱼类 海鲜 顺丰包邮,语海食品专营店,2924225456,0,179.00,1
520242343791,野生鲜活老虎斑600克/条  石斑鱼海捕虎斑 柔嫩极限 珍贵海鲜,渔鼎鲜旗舰店,2101947552,0,189.00,6
538048991893,【买鲜】新西兰进口红真鳕鱼 2.4斤-2.6斤/袋 2条装 切段非整条,买鲜海外旗舰店,2825214842,5,79.00,14
544229158966,欧帆 野生红石斑鱼450g 新鲜石斑鱼 深海捕捞 去腮去内脏 生鲜,语海食品专营店,2924225456,0,39.00,
36663482188,【肴易食】冰岛进口天然海参斑1.3kg冷冻 野生浪浦斯鱼深海鱼海鲜,肴易食旗舰店,689640323,9,56.00,34
43419504800,【聚蟹德】越南冻七星斑600g-500g 海鲜鱼类 进口品质 七星斑,聚蟹德旗舰店,1050468978,8,158.00,111
44821095543,【聚蟹德】越南野生冰鲜石斑鱼600g-500g 新鲜老虎斑 深海鱼,聚蟹德旗舰店,1050468978,3,109.00,68
540735016433,冰岛海参斑鱼1000-1150g/条 去砂海参斑浪浦斯鱼野生深海水产海鲜,渔鼎鲜旗舰店,2101947552,2,59.00,11
525469549094,【尊尊】海鲜冻品加拿大深海野生红石斑鱼整条400-500G,尊尊旗舰店,2525881433,0,40.00,2
