goodsID,goodsName,goodsURL,shopName,shopURL,monthly_sales,price,price_ave,comments
43766553539,太古白砂糖 细砂糖幼砂糖食用糖 蛋糕饼干面包烘焙原料 原装454g,http://detail.tmall.com/item.htm?id=43766553539&skuId=4611686062193941443&user_id=2081386926&cat_id=2&is_b=1&rn=4e0b48e23cb1245232ac52e1f3600a3a,徐州乐享食品专营店,http://store.taobao.com/search.htm?user_number_id=2081386926&rn=4e0b48e23cb1245232ac52e1f3600a3a&keyword=白砂糖,150,9.80,10.79元/500g,246
18578723746,舒可曼白砂糖 细砂糖幼砂糖400g 螺旋设计方便储存烘焙用白糖,http://detail.tmall.com/item.htm?id=18578723746&skuId=4611686037006111650&user_id=1050527822&cat_id=2&is_b=1&rn=4e0b48e23cb1245232ac52e1f3600a3a,安琪酵母食品专营店,http://store.taobao.com/search.htm?user_number_id=1050527822&rn=4e0b48e23cb1245232ac52e1f3600a3a&keyword=白砂糖,148,7.50,9.38元/500g,530
540012160669,烘焙原料百钻幼砂糖 精制细砂糖白糖 食用白砂糖烘培材料400g原装,http://detail.tmall.com/item.htm?id=540012160669&skuId=4611686558439548573&user_id=3008605046&cat_id=2&is_b=1&rn=4e0b48e23cb1245232ac52e1f3600a3a,袭明食品专营店,http://store.taobao.com/search.htm?user_number_id=3008605046&rn=4e0b48e23cb1245232ac52e1f3600a3a&keyword=白砂糖,147,9.50,11.88元/500g,19
525072385015,【天猫超市】太港 粗白砂糖454g 烹饪白糖 食用糖 调味 甜味纯正,http://detail.tmall.com/item.htm?id=525072385015&skuId=4611686543499772919&user_id=725677994&cat_id=2&is_b=1&rn=4e0b48e23cb1245232ac52e1f3600a3a,天猫超市,http://store.taobao.com/search.htm?user_number_id=725677994&rn=4e0b48e23cb1245232ac52e1f3600a3a&keyword=白砂糖,146,7.90,8.70元/500g,129
45258728473,烘焙原料 安琪百钻优级绵白糖 细砂糖棉白糖厨房调味品400g*3袋,http://detail.tmall.com/item.htm?id=45258728473&skuId=4611686063686116377&user_id=394319152&cat_id=2&is_b=1&rn=4e0b48e23cb1245232ac52e1f3600a3a,安琪酵母旗舰店,http://store.taobao.com/search.htm?user_number_id=394319152&rn=4e0b48e23cb1245232ac52e1f3600a3a&keyword=白砂糖,141,19.90,8.29元/500g,256
522561585436,【天猫超市】太古 优级白砂糖条 5g*200条/袋 居家旅行的上好选择,http://detail.tmall.com/item.htm?id=522561585436&skuId=4611686540988973340&user_id=725677994&cat_id=2&is_b=1&rn=4e0b48e23cb1245232ac52e1f3600a3a,天猫超市,http://store.taobao.com/search.htm?user_number_id=725677994&rn=4e0b48e23cb1245232ac52e1f3600a3a&keyword=白砂糖,139,46.80,,65
522542591722,【天猫超市】太古 优级白砂糖 908g/袋 太古是居家旅行的上好选择,http://detail.tmall.com/item.htm?id=522542591722&skuId=4611686540969979626&user_id=725677994&cat_id=2&is_b=1&rn=4e0b48e23cb1245232ac52e1f3600a3a,天猫超市,http://store.taobao.com/search.htm?user_number_id=725677994&rn=4e0b48e23cb1245232ac52e1f3600a3a&keyword=白砂糖,139,18.00,9.91元/500g,131
540442485293,【天猫超市】红棉食糖一级白砂糖454g/袋+红糖400g/袋烹饪烘焙,http://detail.tmall.com/item.htm?id=540442485293&skuId=4611686558869873197&user_id=725677994&cat_id=2&is_b=1&rn=4e0b48e23cb1245232ac52e1f3600a3a,天猫超市,http://store.taobao.com/search.htm?user_number_id=725677994&rn=4e0b48e23cb1245232ac52e1f3600a3a&keyword=白砂糖,120,13.40,11.71元/500g,20
533931146812,【品厨烘焙】展艺韩国糖精幼砂糖 细砂糖白砂糖 做蛋糕面包 500g,http://detail.tmall.com/item.htm?id=533931146812&skuId=4611686552358534716&user_id=2098914042&cat_id=2&is_b=1&rn=4e0b48e23cb1245232ac52e1f3600a3a,品厨食品专营店,http://store.taobao.com/search.htm?user_number_id=2098914042&rn=4e0b48e23cb1245232ac52e1f3600a3a&keyword=白砂糖,116,11.80,11.80元/500g,48
530458960722,木糖醇 代糖 木糖醇食品原料无糖烘焙白砂糖 优品康木糖醇代糖,http://detail.tmall.com/item.htm?id=530458960722&skuId=4611686548886348626&user_id=579230650&cat_id=2&is_b=1&rn=4e0b48e23cb1245232ac52e1f3600a3a,美联食品专营店,http://store.taobao.com/search.htm?user_number_id=579230650&rn=4e0b48e23cb1245232ac52e1f3600a3a&keyword=白砂糖,116,21.00,21.00元/500g,185
